result_id,randomized,type,count,inserted,insert_time,search,search_time,removed,remove_time
4,False,LIST,25000,24194,15866,6029,21090,5392,30616
4,False,LIST,30000,28809,22424,8603,30884,7538,43857
4,True,AVL,10000,10000,5497,998,7,965,1830
4,True,AVL,15000,15000,12835,2252,10,2065,5977
4,True,AVL,20000,20000,24885,3913,15,3636,14008
4,True,AVL,25000,25000,41260,6209,19,5469,27636
4,True,AVL,30000,30000,58027,8930,26,7819,47962
4,True,BST,10000,10000,14,998,7,965,14
4,True,BST,15000,15000,23,2252,12,1974,24
4,True,BST,20000,20000,29,3913,15,3528,29
4,True,BST,25000,25000,38,6209,20,5469,39
4,True,BST,30000,30000,50,8930,28,7819,59
4,True,LIST,10000,10000,3528,1007,3305,936,6564
4,True,LIST,15000,15000,9296,2236,8421,2111,14829
4,True,LIST,20000,20000,18252,4050,15296,3629,25947
4,True,LIST,25000,25000,30949,6265,23732,5588,26971
4,True,LIST,30000,30000,11666,9081,9224,7725,16048
5,False,AVL,10000,9872,550,1041,1,914,357
5,False,AVL,15000,14723,1384,2203,2,2006,1244
5,False,AVL,20000,19486,2703,3885,3,3520,2999
5,False,AVL,25000,24207,4682,6030,5,5340,5694
5,False,AVL,30000,28836,6874,8616,6,7478,9201
5,False,BST,10000,9872,4,1041,2,914,4
5,False,BST,15000,14723,6,2203,3,1999,6
5,False,BST,20000,19486,8,3885,4,3425,8
5,False,BST,25000,24207,9,6030,5,5228,10
5,False,BST,30000,28836,10,8616,7,7288,13
5,False,LIST,10000,9871,488,957,767,879,1182
5,False,LIST,15000,14710,1154,2131,1807,2022,2653
5,False,LIST,20000,19484,2252,3844,3748,3474,5605
5,False,LIST,25000,24194,4021,6029,5932,5392,7833
5,False,LIST,30000,28809,5407,8603,7493,7538,10154
5,True,AVL,10000,10000,1284,998,1,965,428
5,True,AVL,15000,15000,3151,2252,3,2065,1501
5,True,AVL,20000,20000,5991,3913,3,3636,3510
5,True,AVL,25000,25000,9902,6209,4,5469,7254
5,True,AVL,30000,30000,16956,8930,6,7819,11520
5,True,BST,10000,10000,3,998,1,965,3
5,True,BST,15000,15000,5,2252,2,1974,5
5,True,BST,20000,20000,7,3913,4,3528,7
5,True,BST,25000,25000,9,6209,5,5469,10
5,True,BST,30000,30000,14,8930,6,7819,12
5,True,LIST,10000,10000,883,1007,821,936,1606
5,True,LIST,15000,15000,2328,2236,2016,2111,3593
5,True,LIST,20000,20000,4488,4050,3698,3629,6426
5,True,LIST,25000,25000,7830,6265,6008,5588,10291
5,True,LIST,30000,30000,13249,9081,9696,7725,13199
6,False,AVL,10000,9872,537,1041,1,914,343
6,False,AVL,15000,14723,1315,2203,2,2006,1232
6,False,AVL,20000,19486,2654,3885,3,3520,3006
6,False,AVL,25000,24207,4420,6030,4,5340,5581
6,False,AVL,30000,28836,6672,8616,5,7478,9698
6,False,BST,10000,9872,4,1041,2,914,3
6,False,BST,15000,14723,6,2203,3,1999,6
6,False,BST,20000,19486,8,3885,5,3425,8
6,False,BST,25000,24207,9,6030,6,5228,10
6,False,BST,30000,28836,10,8616,7,7288,12
6,False,LIST,10000,9871,482,957,762,879,1178
6,False,LIST,15000,14710,1223,2131,1857,2022,2759
6,False,LIST,20000,19484,2269,3844,3329,3474,4796
6,False,LIST,25000,24194,3672,6029,5189,5392,7491
6,False,LIST,30000,28809,5698,8603,7397,7538,10067
6,True,AVL,10000,10000,1229,998,1,965,412
6,True,AVL,15000,15000,3136,2252,2,2065,1462
6,True,AVL,20000,20000,5753,3913,3,3636,3338
6,True,AVL,25000,25000,9718,6209,5,5469,6524
6,True,AVL,30000,30000,14923,8930,6,7819,11991
6,True,BST,10000,10000,3,998,1,965,3
6,True,BST,15000,15000,6,2252,3,1974,6
6,True,BST,20000,20000,8,3913,4,3528,8
6,True,BST,25000,25000,10,6209,5,5469,11
6,True,BST,30000,30000,14,8930,7,7819,14
6,True,LIST,10000,10000,863,1007,827,936,1588
6,True,LIST,15000,15000,2320,2236,2042,2111,3659
6,True,LIST,20000,20000,4552,4050,3744,3629,6430
6,True,LIST,25000,25000,7687,6265,5991,5588,9837
6,True,LIST,30000,30000,11591,9081,8793,7725,13873
7,False,AVL,10000,9872,544,1041,1,914,350
7,False,AVL,15000,14723,1353,2203,2,2006,1291
7,False,AVL,20000,19486,2684,3885,3,3520,2985
7,False,AVL,25000,24207,4482,6030,4,5340,5577
7,False,AVL,30000,28836,6757,8616,5,7478,9127
7,False,BST,10000,9872,4,1041,2,914,4
7,False,BST,15000,14723,6,2203,3,1999,6
7,False,BST,20000,19486,8,3885,4,3425,9
7,False,BST,25000,24207,9,6030,6,5228,11
7,False,BST,30000,28836,11,8616,7,7288,12
7,False,LIST,10000,9871,494,957,805,879,1240
7,False,LIST,15000,14710,1194,2131,1849,2022,2764
7,False,LIST,20000,19484,2332,3844,3352,3474,4839
7,False,LIST,25000,24194,3672,6029,5318,5392,7167
7,False,LIST,30000,28809,5656,8603,7430,7538,9984
7,True,AVL,10000,10000,1268,998,1,965,420
7,True,AVL,15000,15000,3187,2252,2,2065,1447
7,True,AVL,20000,20000,5980,3913,4,3636,3521
7,True,AVL,25000,25000,9791,6209,4,5469,6569
7,True,AVL,30000,30000,14397,8930,6,7819,11146
7,True,BST,10000,10000,3,998,1,965,3
7,True,BST,15000,15000,6,2252,3,1974,7
7,True,BST,20000,20000,8,3913,4,3528,8
7,True,BST,25000,25000,11,6209,6,5469,11
7,True,BST,30000,30000,14,8930,7,7819,14
7,True,LIST,10000,10000,913,1007,839,936,1788
7,True,LIST,15000,15000,2406,2236,1978,2111,3549
7,True,LIST,20000,20000,4541,4050,3690,3629,6474
7,True,LIST,25000,25000,7391,6265,5776,5588,9511
7,True,LIST,30000,30000,11589,9081,8920,7725,13999
8,False,AVL,10000,9872,531,1041,1,914,339
8,False,AVL,15000,14723,1391,2203,2,2006,1273
8,False,AVL,20000,19486,2602,3885,3,3520,2894
8,False,AVL,25000,24207,4501,6030,4,5340,5561
8,False,AVL,30000,28836,6776,8616,6,7478,9240
8,False,BST,10000,9872,4,1041,2,914,3
8,False,BST,15000,14723,6,2203,3,1999,6
8,False,BST,20000,19486,8,3885,4,3425,8
8,False,BST,25000,24207,9,6030,5,5228,10
8,False,BST,30000,28836,10,8616,7,7288,12
8,False,LIST,10000,9871,493,957,822,879,1241
8,False,LIST,15000,14710,1176,2131,1839,2022,2719
8,False,LIST,20000,19484,2279,3844,3422,3474,4838
8,False,LIST,25000,24194,3715,6029,5195,5392,7266
8,False,LIST,30000,28809,5354,8603,7554,7538,10310
8,True,AVL,10000,10000,1263,998,1,965,422
8,True,AVL,15000,15000,3156,2252,3,2065,1514
8,True,AVL,20000,20000,6647,3913,4,3636,3668
8,True,AVL,25000,25000,9828,6209,4,5469,6299
8,True,AVL,30000,30000,15383,8930,7,7819,11371
8,True,BST,10000,10000,3,998,1,965,3
8,True,BST,15000,15000,5,2252,3,1974,5
8,True,BST,20000,20000,7,3913,4,3528,7
8,True,BST,25000,25000,9,6209,5,5469,9
8,True,BST,30000,30000,11,8930,6,7819,12
8,True,LIST,10000,10000,881,1007,866,936,1542
8,True,LIST,15000,15000,2240,2236,1989,2111,3682
8,True,LIST,20000,20000,4417,4050,3618,3629,6372
8,True,LIST,25000,25000,7507,6265,6114,5588,9841
8,True,LIST,30000,30000,11816,9081,8752,7725,14032
9,False,AVL,10000,9872,530,1041,1,914,337
9,False,AVL,15000,14723,1374,2203,2,2006,1306
9,False,AVL,20000,19486,2672,3885,3,3520,2972
9,False,AVL,25000,24207,4446,6030,4,5340,5666
9,False,AVL,30000,28836,6556,8616,6,7478,9145
9,False,BST,10000,9872,4,1041,1,914,3
9,False,BST,15000,14723,6,2203,3,1999,5
9,False,BST,20000,19486,7,3885,4,3425,8
9,False,BST,25000,24207,9,6030,5,5228,10
9,False,BST,30000,28836,10,8616,7,7288,12
9,False,LIST,10000,9871,470,957,774,879,1167
9,False,LIST,15000,14710,1160,2131,1968,2022,2898
9,False,LIST,20000,19484,2624,3844,3452,3474,4696
9,False,LIST,25000,24194,3568,6029,5206,5392,7180
9,False,LIST,30000,28809,5901,8603,8200,7538,11207
9,True,AVL,10000,10000,1274,998,1,965,415
9,True,AVL,15000,15000,3146,2252,3,2065,1677
9,True,AVL,20000,20000,5914,3913,3,3636,3500
